,SMILES,PKM2_inhibition,ERK2_inhibition,inhibits
0,C=C(C)c1nc(N)nc(N)n1,0,0,0
1,C=C(Cl)COc1ccc2c(C)cc(=O)oc2c1,0,0,0
2,C=CCNC(=O)CCCC(=O)NCC=C,0,0,0
3,C=CCOn1c(=O)c(C)[n+]([O-])c2ccccc21,0,0,0
4,C=CCn1cc(Cl)c(=O)n(CC=C)c1=O,0,0,0
5,CC(=O)N(C)c1ccc(NC(=O)c2ccco2)cc1,0,0,0
6,CC(=O)c1c(N(C)C)cc[nH+]c1C(F)(F)F,0,0,0
7,CC(C)(N[O-])/C(=N/O)c1cccs1,0,0,0
8,CC(C)C(=O)Nc1cc(=O)nc2nc[nH]n12,0,0,0
9,CC(C)[NH+](Cc1nc2ccccc2[nH]1)C(C)C,0,0,0
10,CC(C)c1ccc(NC(=O)c2cccnc2)cc1,0,0,0
11,CC(Nc1ccccc1)=[NH+]c1ccccc1,0,0,0
12,CCC(CC)C(=O)NCc1ccccc1OC,0,0,0
13,CCC/C(=N\O)c1c[nH]c2ccccc12,0,0,0
14,CCCC(=O)Nc1cc(=O)nc2nc[nH]n12,0,0,0
15,CCCCCCP(=O)([O-])c1ccccc1,0,0,0
16,CCCCOC(=O)c1cc(=O)[nH]c2ccccc12,0,0,0
17,CCCCP(=O)([O-])CCC(=O)[O-],0,0,0
18,CCCOc1ccc2ncc(C(=O)[O-])c(O)c2c1,0,0,0
19,CCC[C@@](O)(CC[NH+](C)C)c1ccc(OC)cc1,0,0,0
20,CCCc1ccc(OCCNC(=O)CC)cc1,0,0,0
21,CCN(CC)S(=O)(=O)c1cccc2nonc12,0,0,0
22,CCOC(=O)CCc1nc2ccccc2[nH]1,0,0,0
23,CCOC(=O)N=[S@@](N)(=O)c1ccc(Cl)cc1,0,0,0
24,CCOC(=O)NCc1ccc2c(c1)cc(C)n2C,0,0,0
25,CCOC(=O)Nc1cccc2ccccc12,0,0,0
26,CCOC(=O)c1cccc(C(=O)OCC)n1,0,0,0
27,CCOc1ccc(C(=O)[O-])cc1OC,0,0,0
28,CCOc1ccc(CN2CCC(=O)NC2=O)cc1,0,0,0
29,CC[NH+]1CCN(Cc2nnnn2C(C)(C)C)CC1,0,0,0
30,CCc1ccccc1N1C(=O)[C@H]2CC=CC[C@@H]2C1=O,0,0,0
31,CCc1nn2cc(-c3ccccc3)[nH+]c2s1,0,0,0
32,CCc1nnc(NC(=O)C2CCC2)s1,0,0,0
33,CCc1nnc(NCn2nc(C)cc2C)s1,0,0,0
34,CN(C)C(=O)Oc1ccc(C[NH+](C)C)cc1Cl,0,0,0
35,CN(C)S(=O)(=O)NCc1ccc2c(c1)OCO2,0,0,0
36,COC(=O)COc1ccc(C(=O)OC)cc1,0,0,0
37,COC(=O)CSc1nc2ccccc2o1,0,0,0
38,COC(=O)C[C@H]1[NH2+]CCNC1=O,0,0,0
39,COC(=O)[C@@H]1C[C@H]1[C@@H](NC(C)=O)c1ccccc1,0,0,0
40,COC(=O)c1cc(Cl)c(N)cc1OC,0,0,0
41,COC(=O)c1ccccc1NC(=O)COC(C)=O,0,0,0
42,COC(=O)c1noc(-c2ccc(OC)cc2)n1,0,0,0
43,COCCCNc1nc2c([nH]1)c(=O)[nH]c(=O)n2C,0,0,0
44,COCCn1cnc2cc(C)c(C)cc21,0,0,0
45,COCc1c(C[NH3+])cnc(C)c1N,0,0,0
46,COc1cc(C(=O)[O-])ccc1OC(C)=O,0,0,0
47,COc1cc(C(=S)N2CCCC2)ccc1O,0,0,0
48,COc1ccc(-n2nc(C)cc2[O-])cc1,0,0,0
49,COc1ccc(CC(=O)N2CCNC2=O)cc1,0,0,0
50,COc1ccc([C@H](O)CNc2ccc(C)cc2)cc1,0,0,0
51,COc1cccc(NC(=O)CCP(C)(=O)[O-])c1,0,0,0
52,COc1cccc(OC[C@H](O)CO)c1,0,0,0
53,COc1ccccc1-c1noc(-c2ccco2)n1,0,0,0
54,COc1ccccc1NC1=C(C)C(=O)CC1,0,0,0
55,CSC1=[NH+]CCN1C(=O)c1cccs1,0,0,0
56,CSCCC(=O)Nc1ccc(C(C)=O)cc1,0,0,0
57,CSc1n[nH]c(NCc2ccccc2)n1,0,0,0
58,CSc1nnc2c(n1)OC(C)=Nc1ccccc1-2,0,0,0
59,C[C@@H]([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1,0,0,0
60,C[C@@]12/C(=N/O)[C@@H]3[C@H]4C[C@H]5[C@@H]3/C(=N/O)[C@@H]1[C@H]5[C@H]42,0,0,0
61,C[C@H](C(=O)[O-])N1C(=O)CSC1=S,0,0,0
62,C[C@H](Cc1ccccc1)C(=O)NCCO,0,0,0
63,C[NH+](C)/C=C1/Nc2ccccc2C1=O,0,0,0
64,C[NH+](C)C[C@@H](C(=O)c1ccccc1)c1ccccc1,0,0,0
65,C[NH2+]Cc1cc2ccc(C)cc2nc1O,0,0,0
66,Cc1[nH]nc2c1[C@@H](c1ccccc1F)CC(=O)N2,0,0,0
67,Cc1cc(C)nc(Sc2c(C)n[nH]c2C)n1,0,0,0
68,Cc1cc(CN2C(=O)c3ccccc3C2=O)on1,0,0,0
69,Cc1cc(NC(=O)c2ccc3c(c2)OCO3)no1,0,0,0
70,Cc1cc(OCC(=O)N2CCCC2)ccc1Cl,0,0,0
71,Cc1ccc(-n2c(C)cc3c2CCCC3=O)cc1,0,0,0
72,Cc1ccc(CNC2=[NH+]CCCCC2)n1C,0,0,0
73,Cc1ccc(NC2=[NH+]C(=O)CS2)c(C)c1,0,0,0
74,Cc1ccc(Nc2cccccc2=O)cc1,0,0,0
75,Cc1cccc(-n2c(N)cc(=O)[nH]c2=S)c1,0,0,0
76,Cc1cccc(N(C)c2cc(C)nc3ncnn23)c1,0,0,0
77,Cc1cccc(Nc2ncccc2C(=O)[O-])c1C,0,0,0
78,Cc1ccccc1NC1=[NH+]c2ccccc2CS1,0,0,0
79,Cc1ccccc1[C@H]1CC(=O)NC2=C1C(=O)CCC2,0,0,0
80,Cc1cnc(NC(=O)COc2ccccc2)s1,0,0,0
81,Cc1cnn(C2CC[NH+](C)CC2)c1N,0,0,0
82,Cc1csc2nc(=O)c(-c3ccccc3)nn12,0,0,0
83,Cc1nc2cc(C(=O)[O-])ccc2n1-c1ccccc1,0,0,0
84,Cc1noc(C)c1C(=O)Nc1ccccn1,0,0,0
85,Cc1occc1C(=O)N[C@H](C)[C@H]1CCCO1,0,0,0
86,Clc1ccc(CSc2ncccn2)cc1,0,0,0
87,Cn1c(=O)c2c(nc(-n3ccnc3)n2C)n(C)c1=O,0,0,0
88,Cn1c2ccccc2c2ccc(CC(=O)[O-])cc21,0,0,0
89,Cn1cnc2c1c(=O)n(C[C@H](O)CO)c(=O)n2C,0,0,0
90,Cn1nnnc1SCC(=O)c1ccco1,0,0,0
91,FC(F)(F)c1ccccc1Nc1nccs1,0,0,0
92,N#CCSc1nnc(N)s1,0,0,0
93,Nc1cccc(-c2nc3ccccc3[nH]2)c1,0,0,0
94,Nc1ccccc1C#CCCCCO,0,0,0
95,Nc1ccccc1NC(=O)c1ccccc1,0,0,0
96,Nc1nc(-c2ccc3c(c2)CCCC3)cs1,0,0,0
97,Nc1nc2sc3c(c2c(=O)s1)CCCC3,0,0,0
98,Nc1ncnc(Nc2ccccc2C(F)(F)F)n1,0,0,0
99,O=C(CCC1CCCCC1)Nc1ccccc1O,0,0,0
100,O=C(COC(=O)c1ccco1)NCc1ccco1,0,0,0
101,O=C(Cn1c(=O)oc2ccccc21)c1ccccc1,0,0,0
102,O=C(NCc1ccco1)c1cc(-c2ccco2)on1,0,0,0
103,O=C(Nc1ccc(F)cc1)N1CCOCC1,0,0,0
104,O=C(Oc1ccccc1)c1ccc2nccnc2c1,0,0,0
105,O=C([O-])CCC(=O)CCC(=O)c1ccccc1,0,0,0
106,O=C([O-])CCN1CCc2ccccc21,0,0,0
107,O=C([O-])CCSc1nnnn1-c1ccccc1,0,0,0
108,O=C([O-])[C@@H](Cc1ccccc1)n1cnnn1,0,0,0
109,O=C([O-])[C@@H]1CC(=O)N(c2ccc(F)c(F)c2)C1,0,0,0
110,O=C([O-])c1cc(=O)c2ccccc2o1,0,0,0
111,O=C([O-])c1cccc(C(=O)[O-])n1,0,0,0
112,O=C1CC(=O)CC(c2ccccc2Cl)C1,0,0,0
113,O=C1CCCc2c1nn(-c1ccccc1)[n+]2[O-],0,0,0
114,O=C1c2ccccc2C(=O)C1c1ccncc1,0,0,0
115,O=C1c2cccnc2C(=O)N1Cc1ccco1,0,0,0
